N_bulk,Avg_bulk,BCN_0,BCN_1,BCN_2,BCN_3,BCN_4,BCN_5,BCN_6,BCN_7,BCN_8,BCN_9,BCN_10,BCN_11,BCN_12,BCN_13,BCN_14,BCN_15,BCN_16,BCN_17,BCN_18,BCN_19,BCN_20,FCC,HCP,ICOS,DECA,q6q6_avg_bulk,q6q6_B0,q6q6_B1,q6q6_B2,q6q6_B3,q6q6_B4,q6q6_B5,q6q6_B6,q6q6_B7,q6q6_B8,q6q6_B9,q6q6_B10,q6q6_B11,q6q6_B12,q6q6_B13,q6q6_B14,q6q6_B15,q6q6_B16,q6q6_B17,q6q6_B18,q6q6_B19,q6q6_B20,q6q6_B20+
1014,12.5552,0,0,0,0,0,0,0,0,0,0,0,70,434,398,101,11,0,0,0,0,0,24,23,2,8,2.7535,356,197,112,70,41,42,29,29,27,30,17,25,30,7,2,0,0,0,0,0,0,0
1034,12.4952,0,0,0,0,0,0,0,0,0,0,4,73,470,389,90,8,0,0,0,0,0,30,35,1,7,2.9188,345,183,117,54,62,48,45,40,36,25,26,22,19,10,2,0,0,0,0,0,0,0
3365,12.3902,0,0,0,0,0,0,0,0,0,0,4,172,1898,1101,178,12,0,0,0,0,0,700,376,0,17,8.4074,163,167,134,141,129,133,150,168,212,224,236,281,959,247,21,0,0,0,0,0,0,0
5292,12.3027,0,0,0,0,0,0,0,1,0,2,35,191,3407,1445,204,7,0,0,0,0,0,1858,823,0,11,11.0017,42,39,41,43,63,70,87,112,193,204,285,489,2775,732,117,0,0,0,0,0,0,0
8508,12.2159,0,0,0,0,0,0,0,0,2,9,56,357,5993,1847,238,6,0,0,0,0,0,3575,1350,0,28,11.1281,43,39,70,77,64,89,112,169,307,317,429,645,5029,982,136,0,0,0,0,0,0,0
10768,12.1987,0,0,0,0,0,0,0,1,0,6,27,348,8125,1957,304,0,0,0,0,0,0,5019,1983,0,52,11.3879,33,43,54,59,67,75,106,165,338,312,399,704,6973,1219,221,0,0,0,0,0,0,0
11155,12.2091,0,0,0,0,0,0,0,0,0,0,18,310,8428,2119,280,0,0,0,0,0,0,5367,1972,0,49,11.5476,10,24,28,50,55,67,74,117,340,303,400,699,7419,1364,205,0,0,0,0,0,0,0
11304,12.1924,0,0,0,0,0,0,0,0,0,0,20,330,8669,2026,258,1,0,0,0,0,0,5441,2124,0,60,11.5116,15,16,47,46,46,62,95,134,354,303,427,704,7593,1280,182,0,0,0,0,0,0,0
11357,12.1859,0,0,0,0,0,0,0,0,0,0,15,318,8854,1883,285,2,0,0,0,0,0,5649,2117,0,61,11.5079,14,19,53,51,56,66,98,110,359,290,387,689,7767,1202,196,0,0,0,0,0,0,0
11389,12.1953,0,0,0,0,0,0,0,0,0,0,13,320,8760,2022,274,0,0,0,0,0,0,5607,2086,0,59,11.5006,18,24,57,44,51,69,87,131,361,321,366,681,7722,1268,189,0,0,0,0,0,0,0
966,12.499,0,0,0,0,0,0,0,0,0,0,2,62,432,400,63,6,1,0,0,0,0,25,44,0,8,3.853,199,159,99,77,78,70,49,57,39,36,39,25,29,10,0,0,0,0,0,0,0,0
974,12.5462,0,0,0,0,0,0,0,0,0,0,3,58,414,405,91,3,0,0,0,0,0,35,49,0,4,4.1622,178,164,96,70,66,76,68,44,43,32,60,36,34,6,1,0,0,0,0,0,0,0
3099,12.3324,0,0,0,0,0,0,0,0,0,1,10,136,1890,940,117,5,0,0,0,0,0,764,458,0,23,9.4802,97,70,66,79,101,90,88,162,194,189,211,294,1153,279,26,0,0,0,0,0,0,0
4675,12.2334,0,0,0,0,0,0,0,0,1,2,19,228,3207,1080,127,11,0,0,0,0,0,1420,974,0,59,9.9651,115,84,79,86,109,97,140,160,330,238,268,372,2143,420,34,0,0,0,0,0,0,0
7748,12.2283,0,0,0,0,0,0,0,0,0,7,45,344,5392,1701,254,5,0,0,0,0,0,2684,1541,0,97,10.3604,101,91,122,131,140,147,163,231,529,397,418,585,3881,706,106,0,0,0,0,0,0,0
9842,12.1729,0,0,0,0,0,0,0,1,0,4,50,404,7423,1704,249,7,0,0,0,0,0,4191,1998,1,114,10.8371,56,75,118,89,127,126,161,207,606,397,446,665,5804,826,139,0,0,0,0,0,0,0
10590,12.1642,0,0,0,0,0,0,0,0,1,5,35,319,8307,1701,220,2,0,0,0,0,0,4785,2351,0,127,11.0384,41,46,94,79,96,113,133,196,604,435,431,679,6701,819,123,0,0,0,0,0,0,0
10937,12.1633,0,0,0,0,0,0,0,0,2,5,27,352,8556,1777,216,2,0,0,0,0,0,4921,2445,1,129,11.0389,44,42,124,98,97,98,144,172,654,389,452,705,6870,918,130,0,0,0,0,0,0,0
11079,12.1687,0,0,0,0,0,0,0,0,2,3,29,329,8665,1830,220,1,0,0,0,0,0,5084,2493,1,122,11.0951,38,47,91,94,112,96,138,170,603,395,458,728,7057,913,139,0,0,0,0,0,0,0
11151,12.1603,0,0,0,0,0,0,0,0,2,3,31,356,8760,1776,223,0,0,0,0,0,0,5207,2422,0,121,11.0811,41,39,116,85,102,101,127,193,620,394,449,731,7145,876,132,0,0,0,0,0,0,0
919,12.4581,0,0,0,0,0,0,0,0,0,0,2,77,415,354,65,6,0,0,0,0,0,27,41,1,13,3.2383,258,150,106,76,58,59,44,33,32,21,20,29,29,4,0,0,0,0,0,0,0,0
923,12.4778,0,0,0,0,0,0,0,0,0,0,1,77,405,365,70,5,0,0,0,0,0,21,50,0,11,3.2644,240,167,108,87,63,45,40,39,31,21,18,20,33,8,3,0,0,0,0,0,0,0
2169,12.42,0,0,0,0,0,0,0,0,0,0,12,117,1127,776,135,2,0,0,0,0,0,431,225,0,4,9.266,105,65,66,58,57,60,68,98,113,130,145,218,679,263,44,0,0,0,0,0,0,0
2970,12.3189,0,0,0,0,0,0,0,0,0,1,10,93,1933,807,122,4,0,0,0,0,0,1056,500,0,6,11.1751,28,21,17,28,30,31,38,54,85,97,128,239,1626,476,72,0,0,0,0,0,0,0
4634,12.2523,0,0,0,0,0,0,0,0,0,5,24,195,3130,1136,141,3,0,0,0,0,0,1605,894,1,4,10.9838,79,44,41,32,42,45,71,78,125,165,215,391,2650,608,48,0,0,0,0,0,0,0
6743,12.105,0,0,0,0,0,0,0,1,0,10,62,333,5241,999,90,7,0,0,0,0,0,3141,1507,0,3,11.1943,72,31,32,55,48,50,70,92,144,198,317,516,4619,477,22,0,0,0,0,0,0,0
8289,12.0927,0,0,0,0,0,0,0,0,2,12,73,339,6638,1157,64,4,0,0,0,0,0,3912,2022,0,4,11.4867,19,24,22,24,33,38,65,96,133,220,358,666,5962,611,18,0,0,0,0,0,0,0
9696,12.0721,0,0,0,0,0,0,0,0,0,13,64,361,8095,1102,58,3,0,0,0,0,0,4794,2623,0,10,11.5526,16,11,27,24,40,58,66,112,157,200,328,625,7401,610,21,0,0,0,0,0,0,0
10490,11.9887,0,0,0,0,0,0,0,0,0,7,69,387,9622,384,20,1,0,0,0,0,0,5866,3392,0,0,11.7328,3,5,7,7,17,27,39,69,110,157,226,507,9124,189,3,0,0,0,0,0,0,0
10820,11.9695,0,0,0,0,0,0,0,0,0,5,55,400,10170,185,5,0,0,0,0,0,0,5998,3941,0,0,11.8049,2,3,5,4,6,6,22,57,66,114,246,465,9722,102,0,0,0,0,0,0,0,0
807,12.5143,0,0,0,0,0,0,0,0,0,0,4,73,328,319,73,9,1,0,0,0,0,8,5,1,2,1.4882,347,192,115,47,31,25,18,11,8,3,2,4,3,1,0,0,0,0,0,0,0,0
822,12.601,0,0,0,0,0,0,0,0,0,0,2,64,310,339,98,9,0,0,0,0,0,11,2,0,1,1.4659,350,210,108,59,27,18,16,7,9,8,1,3,6,0,0,0,0,0,0,0,0,0
1704,12.4906,0,0,0,0,0,0,0,0,0,1,6,125,736,701,130,5,0,0,0,0,0,91,66,0,14,4.8005,326,177,161,132,115,125,104,103,70,83,73,74,99,52,10,0,0,0,0,0,0,0
2092,12.4646,0,0,0,0,0,0,0,0,0,0,5,124,1001,824,132,6,0,0,0,0,0,247,219,0,26,7.3322,111,115,122,123,112,116,133,146,190,170,162,146,327,103,16,0,0,0,0,0,0,0
3021,12.4191,0,0,0,0,0,0,0,0,0,3,20,148,1580,1084,179,7,0,0,0,0,0,554,363,0,14,8.8355,148,118,97,104,103,126,110,143,161,187,226,271,852,321,54,0,0,0,0,0,0,0
4189,12.3103,0,0,0,0,0,0,0,0,0,2,17,174,2643,1199,147,7,0,0,0,0,0,1287,568,0,12,9.9322,95,101,96,98,107,96,123,132,164,210,243,388,1862,431,43,0,0,0,0,0,0,0
6148,12.2502,0,0,0,0,0,0,0,0,2,3,54,318,4018,1535,208,10,0,0,0,0,0,2082,912,1,10,10.1152,233,151,127,96,99,108,103,149,213,273,323,527,3048,638,60,0,0,0,0,0,0,0
7610,12.2307,0,0,0,0,0,0,0,0,2,1,37,300,5362,1685,213,10,0,0,0,0,0,3006,1359,0,13,11.1452,63,49,51,66,48,88,107,147,191,257,362,637,4483,955,106,0,0,0,0,0,0,0
8869,12.174,0,0,0,0,0,0,0,0,0,7,46,306,6708,1645,154,3,0,0,0,0,0,3870,1842,0,14,11.4746,25,20,24,35,42,63,83,98,196,245,370,703,5909,970,86,0,0,0,0,0,0,0
9691,12.1352,0,0,0,0,0,0,1,0,0,6,28,354,7694,1476,128,4,0,0,0,0,0,4558,2212,0,18,11.4696,32,22,34,37,67,74,78,104,168,271,336,648,6878,878,64,0,0,0,0,0,0,0
649,12.4499,0,0,0,0,0,0,0,0,0,1,10,58,277,238,60,5,0,0,0,0,0,18,17,1,6,2.8644,194,135,69,45,28,35,38,24,25,22,15,8,11,0,0,0,0,0,0,0,0,0
